employee_number,gender,birth_year,age,marital_status,dist_home,job_title,department,departured,year_at_comp,standard_hours,remote,business_travel,over_time,job_level,stock_opt_level,traning_times_last_year,perf_rate,year_last_promotion,year_current_mngr,education_field,education_scale,annual_salary,monthly_income,daily_rate,perc_salary_hike,env_sat_rate,job_involvement,job_sat_rate,relationship_sat_rate,work_life_balance,num_comp_worked,tot_working_year
1,M,1972,51.0,Unknown,6,Research Director,Research & Development,No,20,Full Time,Yes,Unknown,No,5,0,5,3,15,15,Unknown,3,195370.0,16280.83,2015.7222222222224,13,1,3,3,3,3,7,
2,M,1971,52.0,Unknown,1,Manager,Unknown,No,33,,Yes,Unknown,Unknown,5,1,5,3,11,9,Life Sciences,4,199990.0,16125.406666666668,2063.3888888888887,14,3,2,3,1,3,0,34
3,M,1981,42.0,Married,4,Manager,Research & Development,No,22,,Yes,travel_rarely,No,5,0,3,3,11,15,Technical Degree,2,192320.0,15943.72,1984.253968253968,11,3,3,4,4,,1,22
4,F,1976,47.0,Married,2,Research Director,Research & Development,No,20,Full Time,No,travel_rarely,Unknown,4,2,2,3,5,6,Medical,4,171690.0,14307.5,1771.4047619047622,19,1,3,3,2,,3,
5,F,1977,46.0,Divorced,3,Sales Executive,Sales,No,19,,No,Unknown,No,4,1,5,3,2,8,Technical Degree,3,153407.07,12783.92,1582.7713464696226,12,1,4,1,4,3,2,
6,F,1975,48.0,Unknown,22,Manager,Research & Development,No,22,,Yes,Unknown,No,4,1,3,3,4,7,Medical,3,171503.33333333334,14311.67,1771.920634920635,11,4,3,4,2,3,3,
7,F,1964,59.0,Unknown,25,Sales Executive,Sales,No,21,Part Time,Yes,Unknown,Unknown,3,0,3,3,7,9,Life Sciences,3,100071.84,8339.32,1032.4872861766066,11,1,3,1,4,2,7,28
8,M,1981,42.0,Married,1,Sales Executive,Sales,No,20,Part Time,No,travel_rarely,No,2,0,3,4,11,6,Unknown,1,53914.11,4492.84,556.2566609977324,25,2,3,3,3,3,1,20
9,F,1982,41.0,Married,2,Manager,Unknown,No,18,Full Time,Yes,Unknown,No,4,1,2,3,11,8,Unknown,5,165950.0,13829.17,1712.1825396825398,16,2,3,1,2,3,7,22
10,M,1982,41.0,Unknown,9,Research Director,Research & Development,No,18,,No,travel_frequently,No,5,1,2,3,0,11,Unknown,3,191324.62,15943.72,1973.9841269841268,17,1,3,3,2,4,2,21
11,F,1982,41.0,Unknown,7,Research Director,Research & Development,No,21,Full Time,No,non-travel,No,5,2,3,4,5,10,Unknown,1,199730.0,16644.17,2060.7063492063494,22,2,1,3,2,3,1,
12,M,1967,56.0,Married,23,Manufacturing Director,Research & Development,No,19,Full Time,No,travel_rarely,Yes,4,1,0,,15,9,Life Sciences,3,134020.0,11013.333333333334,1382.7460317460318,12,4,3,2,1,3,4,33
13,F,1985,38.0,Married,10,Research Director,Research & Development,No,18,Full Time,Yes,Unknown,No,3,1,3,3,1,11,Medical,3,132060.0,11013.333333333334,1362.5238095238096,12,2,1,3,1,3,3,
14,F,1982,41.0,Married,12,Research Director,Research & Development,Yes,22,Full Time,No,travel_rarely,No,5,0,0,3,15,8,Unknown,3,195450.0,16125.406666666668,2016.547619047619,12,2,3,3,4,3,1,
15,M,1968,55.0,Single,14,Research Director,Research & Development,No,24,,Yes,Unknown,No,5,0,3,3,2,15,Medical,4,191324.62,15943.72,1973.9841269841268,11,3,4,2,4,3,8,
16,F,1983,40.0,Unknown,2,Manager,Unknown,No,20,Full Time,No,travel_rarely,No,5,0,2,3,1,12,Unknown,4,180410.0,15034.17,1861.373015873016,14,3,3,3,4,3,0,
17,M,1965,58.0,Single,2,Research Director,Research & Development,Yes,31,Full Time,No,travel_rarely,Yes,5,0,2,3,13,8,Unknown,4,192460.0,16038.33,1985.6984126984123,12,4,3,2,4,3,7,40
18,F,1977,46.0,Unknown,2,Manager,Unknown,No,26,,No,travel_rarely,Unknown,4,0,2,4,15,9,Unknown,3,153407.07,12783.92,1582.7713464696226,23,3,3,1,1,3,8,28
19,M,1988,35.0,Married,13,Research Scientist,Research & Development,No,16,,No,Unknown,Unknown,2,0,2,3,1,10,Life Sciences,5,53914.11000000001,4492.84,556.2566609977324,11,2,4,1,4,3,1,
20,F,1983,40.0,Unknown,15,Manufacturing Director,Research & Development,No,18,,Yes,travel_rarely,Unknown,3,2,2,3,14,12,Life Sciences,3,100071.84000000001,8339.32,1032.4872861766066,13,1,2,3,4,,1,18
21,M,1978,45.0,Unknown,1,Healthcare Representative,Research & Development,No,23,Full Time,No,non-travel,Unknown,3,1,3,4,14,4,Unknown,1,107480.0,8956.67,1108.920634920635,23,3,2,3,4,2,3,25
22,F,1990,33.0,Single,1,Research Director,Research & Development,No,15,Part Time,Yes,Unknown,Yes,3,0,1,3,8,12,Life Sciences,2,100071.84,8339.32,1032.4872861766066,12,1,3,4,3,3,1,15
23,F,1987,36.0,Divorced,8,Healthcare Representative,Research & Development,No,17,,Yes,Unknown,Unknown,3,3,2,,12,8,Unknown,3,100071.84,8339.32,1032.4872861766066,13,3,3,3,2,3,1,17
24,F,1976,47.0,Married,2,Manager,Unknown,No,26,Full Time,No,Unknown,Unknown,4,1,3,3,3,0,Other,2,167520.0,13859.166666666666,1728.3809523809523,11,3,3,4,3,2,1,
25,M,1987,36.0,Unknown,42,Sales Executive,Sales,No,18,Full Time,Yes,travel_rarely,Unknown,2,1,1,3,4,11,Life Sciences,2,62010.0,5167.5,639.7857142857143,14,42,3,4,4,,1,18
26,F,1988,35.0,Married,9,Manufacturing Director,Research & Development,No,17,Part Time,No,Unknown,Yes,3,1,2,4,5,15,Life Sciences,3,100071.84,8339.32,1032.4872861766066,20,4,2,3,2,3,1,17
27,F,1971,52.0,Married,2,Manager,Unknown,Yes,32,Full Time,Yes,Unknown,No,5,1,3,3,6,9,Unknown,1,198450.0,16125.406666666668,2047.5,15,1,1,4,4,3,1,33
28,F,1987,36.0,Single,2,Manufacturing Director,Research & Development,No,16,,No,Unknown,Yes,2,0,2,3,5,12,Life Sciences,4,53914.11,4492.84,556.2566609977324,11,3,3,2,4,3,9,18
29,M,1990,33.0,Married,28,Laboratory Technician,Research & Development,No,15,Part Time,Yes,travel_rarely,Unknown,2,1,3,3,5,7,Life Sciences,4,53914.11,4492.84,556.2566609977324,12,2,3,3,2,3,1,15
30,M,1989,34.0,Unknown,10,Sales Executive,Sales,No,15,Part Time,Yes,non-travel,Yes,2,1,3,3,0,7,Life Sciences,3,40010.0,3334.17,412.8015873015873,14,4,3,3,3,3,1,15
31,F,1982,41.0,Divorced,37,Sales Executive,Sales,No,22,Full Time,Yes,Unknown,Unknown,3,1,3,3,13,5,Unknown,1,104470.0,8705.83,1077.8650793650793,13,37,3,3,4,4,0,
32,M,1976,47.0,Unknown,25,Healthcare Representative,Research & Development,No,17,,Yes,Unknown,Unknown,3,0,3,4,12,11,Medical,3,100071.84000000001,8339.32,1032.4872861766066,23,1,3,3,2,3,2,25
33,F,1970,53.0,Unknown,5,Manager,Unknown,No,14,Full Time,Yes,travel_rarely,Unknown,5,1,3,3,4,8,Unknown,3,191324.62,15943.72,1973.9841269841268,11,3,3,3,4,2,4,26
34,M,1988,35.0,Single,1,Sales Executive,Sales,No,15,Part Time,No,Unknown,No,2,0,2,,2,8,Marketing,4,53914.11,4492.84,556.2566609977324,14,3,2,1,2,3,0,16
35,F,1989,34.0,Single,6,Research Scientist,Research & Development,No,16,,Yes,travel_rarely,Unknown,2,0,3,3,2,10,Other,4,53914.11000000001,4492.84,556.2566609977324,14,1,3,3,3,3,1,16
36,F,1977,46.0,Divorced,1,Sales Executive,Sales,No,24,Part Time,Yes,travel_rarely,No,3,3,2,4,15,7,Unknown,2,100071.84,8339.32,1032.4872861766066,25,2,3,1,3,3,1,24
37,F,1980,43.0,Married,16,Manager,Unknown,No,17,Full Time,Yes,Unknown,Unknown,4,1,3,4,1,9,Unknown,3,160640.0,13349.916666666666,1657.3968253968255,22,4,3,4,3,3,5,22
38,M,1987,36.0,Married,6,Laboratory Technician,Research & Development,No,15,Full Time,Yes,Unknown,Unknown,1,1,4,3,10,11,Life Sciences,3,32100.0,2675.0,331.1904761904762,11,4,3,4,3,3,0,16
39,F,1963,60.0,Married,28,Sales Executive,Sales,No,18,Full Time,Yes,travel_frequently,No,3,0,5,3,13,11,Unknown,3,102660.0,8555.0,1059.1904761904764,19,3,2,1,4,4,4,22
40,M,1983,40.0,Married,5,Sales Executive,Sales,No,18,Full Time,No,travel_frequently,Yes,3,1,2,4,1,12,Unknown,4,104750.0,8729.17,1080.7539682539684,21,4,2,1,3,3,5,20
41,F,1991,32.0,Married,4,Manufacturing Director,Research & Development,No,14,Full Time,No,travel_rarely,No,2,1,3,3,6,8,Unknown,3,61620.0,5238.333333333333,635.7619047619048,12,3,2,3,3,3,1,14
42,M,1982,41.0,Single,35,Laboratory Technician,Research & Development,No,18,Full Time,Yes,travel_rarely,Yes,1,0,3,,2,17,Unknown,3,47210.0,3934.17,487.0873015873016,13,35,3,1,3,3,2,20
43,M,1970,53.0,Divorced,2,Manager,Unknown,No,17,Full Time,No,Unknown,No,4,1,3,3,15,2,Medical,2,153407.07,12783.92,1582.7713464696226,13,3,3,3,3,4,6,22
44,F,1987,36.0,Single,16,Laboratory Technician,Research & Development,Yes,17,Part Time,Yes,travel_rarely,Unknown,1,0,1,3,15,14,Unknown,4,28111.13,2342.59,290.03550973654063,16,3,4,1,3,3,1,18
45,F,1977,46.0,Divorced,8,Research Scientist,Research & Development,No,16,Part Time,No,Unknown,Yes,2,3,2,4,1,7,Life Sciences,4,46150.0,3845.83,476.1507936507937,23,4,2,1,1,3,8,
46,M,1985,38.0,Married,1,Sales Executive,Sales,No,15,,Yes,travel_rarely,No,2,2,3,3,5,8,Unknown,4,53914.11,4492.84,556.2566609977324,15,4,3,2,1,,0,16
47,F,1972,51.0,Single,1,Healthcare Representative,Research & Development,No,13,Part Time,Yes,Unknown,Unknown,3,0,1,4,12,8,Unknown,4,100071.84,8339.32,1032.4872861766066,20,1,2,1,3,2,3,23
48,M,1980,43.0,Married,26,Manager,Unknown,No,25,Full Time,Yes,Unknown,Yes,4,2,3,3,4,12,Unknown,2,169590.0,14132.5,1749.7380952380954,12,3,3,4,4,4,1,25
49,F,1986,37.0,Single,1,Research Scientist,Research & Development,No,17,Part Time,Yes,Unknown,No,1,0,3,3,5,7,Life Sciences,3,28111.13,2342.59,290.03550973654063,12,4,3,4,2,3,1,
50,F,1991,32.0,Married,8,Sales Executive,Sales,No,13,Part Time,Yes,travel_rarely,Yes,2,0,2,3,11,9,Technical Degree,2,53914.11,4492.84,556.2566609977324,11,3,2,2,4,3,1,
51,F,1985,38.0,Married,1,Research Director,Research & Development,No,15,Part Time,No,Unknown,Unknown,3,1,3,3,5,11,Unknown,3,100071.84,8339.32,1032.4872861766066,13,4,3,1,2,3,1,15
52,F,1977,46.0,Unknown,3,Manager,Unknown,No,13,Full Time,Yes,Unknown,No,4,1,2,3,5,1,Life Sciences,3,153407.07,12783.92,1582.7713464696226,12,3,3,2,4,4,8,23
53,M,1988,35.0,Married,10,Sales Executive,Sales,Yes,13,,No,travel_rarely,Unknown,3,0,3,3,6,0,Medical,3,103720.0,8588.33,1063.3174603174605,17,4,2,1,3,,9,15
54,F,1980,43.0,Married,6,Manager,Unknown,No,16,,Yes,Unknown,No,5,0,2,3,6,14,Medical,3,191324.62,15943.72,1973.9841269841268,13,1,2,3,4,3,7,21
55,M,1967,56.0,Divorced,1,Healthcare Representative,Research & Development,No,13,,Yes,non-travel,No,2,1,2,,1,9,Life Sciences,4,53914.11000000001,4492.84,556.2566609977324,21,3,3,3,1,2,1,
56,M,1987,36.0,Divorced,15,Sales Executive,Sales,No,15,Full Time,Yes,non-travel,No,2,1,4,4,11,11,Marketing,4,54060.0,4505.0,557.7619047619048,24,4,1,4,1,2,1,
57,F,1985,38.0,Unknown,6,Research Scientist,Research & Development,No,13,Part Time,Yes,Unknown,Unknown,2,3,3,3,1,9,Medical,3,53914.11,4492.84,556.2566609977324,12,2,1,4,4,3,7,17
58,F,1974,49.0,Unknown,26,Manufacturing Director,Research & Development,No,15,Part Time,No,Unknown,No,2,0,2,3,5,11,Medical,4,53914.11,4492.84,556.2566609977324,14,3,3,1,3,2,1,16
59,F,1984,39.0,Married,4,Sales Executive,Sales,No,15,Full Time,Yes,travel_rarely,Unknown,2,1,1,3,5,9,Life Sciences,4,59020.0,4918.33,608.936507936508,14,4,2,3,3,4,4,17
60,M,1983,40.0,Married,4,Sales Executive,Sales,No,12,Full Time,Yes,Unknown,No,3,1,2,,2,11,Unknown,4,108550.0,8996.666666666666,1119.9603174603176,11,3,2,4,1,2,7,15
61,M,1987,36.0,Single,5,Laboratory Technician,Research & Development,No,13,Full Time,Yes,Unknown,No,2,0,3,3,3,7,Unknown,2,59140.0,4928.33,610.1746031746031,16,4,3,2,4,4,8,16
62,F,1986,37.0,Married,25,Research Scientist,Research & Development,No,13,,No,Unknown,Yes,2,2,2,3,10,7,Unknown,5,53914.11,4492.84,556.2566609977324,15,2,3,3,1,3,3,15
63,M,1988,35.0,Unknown,6,Research Scientist,Research & Development,No,17,Full Time,Yes,Unknown,Unknown,2,0,3,3,11,8,Unknown,4,66460.0,5538.33,685.6984126984128,13,2,1,4,2,3,1,
64,M,1990,33.0,Divorced,6,Healthcare Representative,Research & Development,No,13,Part Time,No,travel_frequently,No,2,1,2,4,4,7,Life Sciences,3,53914.11,4492.84,556.2566609977324,23,3,3,4,3,1,3,15
65,M,1973,50.0,Married,24,Manufacturing Director,Research & Development,No,12,Full Time,No,travel_rarely,Yes,4,1,2,3,1,5,Unknown,3,139730.0,11581.946666666665,1441.65873015873,18,4,3,3,4,3,3,22
66,M,1975,48.0,Single,4,Healthcare Representative,Research & Development,No,15,Part Time,Yes,travel_rarely,Unknown,3,0,3,,4,8,Unknown,4,100071.84,8339.32,1032.4872861766066,14,3,2,3,2,3,7,27
67,F,1979,44.0,Married,28,Sales Executive,Sales,No,12,,Yes,travel_rarely,Unknown,4,1,2,3,11,11,Unknown,3,133163.33333333334,11100.0,1374.2857142857142,18,4,4,4,3,3,3,
68,M,1979,44.0,Single,29,Research Scientist,Research & Development,No,20,Part Time,Yes,travel_rarely,Unknown,2,0,3,4,13,17,Unknown,4,53914.11,4492.84,556.2566609977324,25,4,3,4,2,3,1,
69,F,1983,40.0,Unknown,25,Healthcare Representative,Research & Development,No,12,Part Time,Yes,Unknown,No,2,3,0,4,11,8,Unknown,1,53914.11,4492.84,556.2566609977324,20,25,4,3,2,3,5,15
70,F,1989,34.0,Single,2,Healthcare Representative,Research & Development,No,14,Full Time,Yes,travel_rarely,Unknown,2,0,2,3,4,11,Unknown,4,66870.0,5572.5,689.9285714285714,11,3,3,4,4,4,1,14
71,F,1988,35.0,Unknown,8,Healthcare Representative,Research & Development,No,14,Part Time,Yes,non-travel,Unknown,2,1,5,3,2,9,Unknown,4,53914.11,4492.84,556.2566609977324,12,3,3,3,4,3,1,
